Wall time,Step,Value
1659976056.061642,0,40.875
1659976083.0206716,1,40.625
1659976111.0113077,2,41.5
1659976138.2118866,3,41.125
1659976167.0304973,4,47.125
1659976196.8369026,5,46.125
1659976226.099965,6,43.75
1659976254.2653794,7,49.5
1659976310.5551176,9,42.125
1659976339.9039395,10,45.75
1659976366.7182164,11,35.625
1659976420.5366995,13,29.25
1659976448.1846828,14,23.625
1659976477.596201,15,22.25
1659976505.24278,16,23.5
1659976533.3549945,17,23.5
1659976560.6638188,18,20.625
1659976588.9190915,19,23.125
1659976615.8837912,20,26.75
1659976642.1943512,21,28.625
1659976670.4438586,22,31.0
1659976698.6018476,23,32.875
1659976757.9344742,25,33.875
1659976786.1506476,26,32.5
1659976814.3359869,27,36.25
1659976842.0297155,28,31.25
1659976870.7799692,29,28.0
1659976900.9672596,30,25.625
1659976927.9856176,31,32.5
1659976955.2354882,32,30.25
1659976982.599984,33,30.0
1659977009.221993,34,35.375
1659977035.2161775,35,35.75
1659977061.6965559,36,26.5
1659977088.9854076,37,28.25
1659977117.5886967,38,27.75
1659977145.0638812,39,27.875
1659977172.9666405,40,23.625
1659977226.3251634,42,26.375
1659977255.1553547,43,25.75
1659977281.728267,44,22.375
1659977308.8551998,45,22.0
1659977337.1996422,46,23.25
1659977364.43775,47,26.375
1659977392.0233297,48,19.75
1659977418.6878855,49,15.5
1659977444.2338412,50,17.0
1659977472.1416986,51,22.25
1659977498.8215513,52,25.875
1659977526.3426287,53,25.5
1659977553.497597,54,26.0
1659977580.8236554,55,20.75
1659977634.940031,57,22.625
1659977661.6539214,58,22.125
1659977715.3536687,60,9.625
1659977742.306525,61,9.75
1659977769.368689,62,11.0
1659977798.3005729,63,10.0
1659977854.47809,65,10.25
1659977883.666727,66,14.625
1659977910.4518685,67,11.0
1659977935.896133,68,10.5
1659977963.0148394,69,9.5
1659977991.0271616,70,11.75
1659978017.970084,71,9.5
1659978046.3470018,72,10.625
1659978074.0444708,73,6.25
1659978102.7111902,74,14.0
1659978131.743514,75,8.125
1659978159.6637125,76,12.25
1659978188.005394,77,7.5
1659978213.7031214,78,7.625
1659978240.0174701,79,9.375
1659978266.4624448,80,10.375
1659978292.6940744,81,10.625
1659978319.5949855,82,11.25
1659978346.2054331,83,8.5
1659978373.8308284,84,11.75
1659978399.941284,85,13.0
1659978426.7456148,86,8.625
1659978455.4120262,87,17.125
1659978483.756406,88,13.125
1659978512.6440663,89,12.5
1659978539.6542895,90,16.875
1659978594.924866,92,13.375
1659978622.9471667,93,7.375
1659978650.208529,94,10.875
1659978677.2005634,95,10.625
1659978705.1912403,96,5.625
1659978763.4122424,98,10.5
1659978789.88348,99,6.25
1659978816.5592413,100,10.625
1659978845.6608217,101,10.625
1659978902.2445493,103,6.875
1659978929.6972818,104,8.125
1659978957.3965511,105,7.625
1659978984.9547417,106,12.625
1659979012.3059602,107,8.0
1659979041.5851755,108,10.625
1659979068.7235444,109,10.375
1659979096.020461,110,8.0
1659979123.1168435,111,12.375
1659979149.911897,112,14.375
1659979205.509782,114,8.875
1659979232.7314234,115,11.125
1659979260.3048258,116,12.5
1659979287.5506306,117,12.75
1659979315.827564,118,16.25
1659979343.165655,119,14.625
1659979371.437022,120,14.375
1659979400.1488397,121,14.0
1659979427.9238362,122,12.5
1659979454.5882194,123,9.125
1659979510.461932,125,10.125
1659979540.3035414,126,8.625
1659979568.1526778,127,7.0
1659979594.8959968,128,8.75
1659979622.6432757,129,11.75
1659979651.00167,130,12.125
1659979678.973077,131,11.5
1659979705.6216555,132,12.875
1659979762.1954327,134,19.75
1659979818.4716556,136,16.625
1659979846.0878065,137,18.25
1659979873.5658722,138,18.25
1659979900.5292068,139,18.5
1659979929.1564813,140,24.625
1659979957.259425,141,15.25
1659979983.8860476,142,10.75
1659980010.7729163,143,11.625
1659980038.29477,144,13.125
1659980066.8972998,145,14.75
1659980094.6525455,146,15.625
1659980121.4355865,147,19.5
1659980148.9360871,148,22.875
1659980204.6876287,150,21.5
1659980259.9622126,152,28.375
1659980286.963198,153,23.0
1659980314.3936775,154,20.5
1659980342.7862623,155,28.25
1659980370.4651268,156,21.0
1659980398.461962,157,23.25
1659980427.239939,158,20.5
1659980455.3890464,159,23.125
1659980483.1377382,160,23.0
1659980510.7331696,161,22.25
1659980538.6792986,162,20.0
1659980566.9983723,163,17.25
1659980595.5849855,164,15.75
1659980623.675335,165,14.75
1659980650.0873165,166,13.25
1659980705.0602834,168,17.625
